AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
4180,Liquor,mixes,Franks Red Hot Blood Mary - 1L,1L,869592000238,12,5.99,Horizon Premium,0,No,12,Franks Red Hot Blood Mary,,,
4181,Beer,Craft,Franks RedHot Sweet Chili - 4 Pack,4 Pack,831439000121,4,9,,0,No,,Franks RedHot Sweet Chili,,,
4182,Wine,Box Wine,Franzia Bold Cab Sauv - 5 L,5 L,83120011255,4,18.99,Horizon Coastal,0,No,4,Franzia Bold Cab Sauv,,,
4183,Wine,Box Wine,Franzia Burgandy - 5 L,5 L,83120102397,4,18.99,Horizon Coastal,0,No,4,Franzia Burgandy,,,
4184,Wine,Box Wine,Franzia Buttery Chard - 5 L,5 L,83120010128,4,18.99,Horizon Coastal,0,No,4,Franzia Buttery Chard,,,
4185,Wine,Box Wine,Franzia Cab Sauv - 5 L,5 L,83120101895,4,18.99,Horizon Coastal,0,No,4,Franzia Cab Sauv,,,
4186,Wine,Box Wine,Franzia Cab Sauv - 500ML,500ML,83120011217,12,3.99,Horizon Coastal,48273,No,,Franzia Cab Sauv,,,
4187,Wine,Box Wine,Franzia Chablis - 5 L,5 L,83120102793,4,18.99,Horizon Coastal,48220,No,,Franzia Chablis,,,
4188,Wine,Box Wine,Franzia Chardonnay - 1.5L,1.5L,86000002572,6,8.99,Horizon Coastal,48257,No,,Franzia Chardonnay,,,
4189,Wine,Box Wine,Franzia Chardonnay - 5 L,5 L,83120102090,4,18.99,Horizon Coastal,0,No,4,Franzia Chardonnay,,,
4190,Wine,Box Wine,Franzia Chardonnay - 500ML,500ML,83120010111,12,2.99,Horizon Coastal,48259,No,,Franzia Chardonnay,,,
4191,Wine,Box Wine,Franzia Chillable Red - 5 L,5 L,83120100690,4,15.99,Horizon Coastal,0,No,4,Franzia Chillable Red,,,
4192,Wine,Box Wine,Franzia Crisp White - 5 L,5 L,83120102892,4,15.99,Horizon Coastal,0,No,4,Franzia Crisp White,,,
4193,Wine,Box Wine,Franzia Dark Red Blend - 5 L,5 L,83120003359,4,18.99,Horizon Coastal,0,No,4,Franzia Dark Red Blend,,,
